step,size,vocab,accuracy 
2,2,100,4.95E-01
2,2,200,5.00E-01
2,2,300,4.99E-01
2,2,400,5.06E-01
2,2,500,4.84E-01
2,2,600,4.92E-01
2,2,700,4.82E-01
2,2,800,4.75E-01
2,2,900,4.84E-01
2,2,1000,4.59E-01
2,3,100,5.15E-01
2,3,200,5.27E-01
2,3,300,5.33E-01
2,3,400,5.32E-01
2,3,500,5.23E-01
2,3,600,5.04E-01
2,3,700,5.02E-01
2,3,800,4.80E-01
2,3,900,4.91E-01
2,3,1000,4.94E-01
2,4,100,5.31E-01
2,4,200,5.24E-01
2,4,300,5.53E-01
2,4,400,5.29E-01
2,4,500,5.42E-01
2,4,600,5.18E-01
2,4,700,5.06E-01
2,4,800,4.96E-01
2,4,900,4.95E-01
2,4,1000,5.29E-01
3,2,100,4.93E-01
3,2,200,4.92E-01
3,2,300,5.01E-01
3,2,400,5.04E-01
3,2,500,4.93E-01
3,2,600,4.74E-01
3,2,700,4.85E-01
3,2,800,4.63E-01
3,2,900,4.58E-01
3,2,1000,4.71E-01
3,3,100,5.17E-01
3,3,200,5.12E-01
3,3,300,5.40E-01
3,3,400,5.24E-01
3,3,500,5.13E-01
3,3,600,5.08E-01
3,3,700,4.85E-01
3,3,800,4.70E-01
3,3,900,4.69E-01
3,3,1000,4.82E-01
3,4,100,5.19E-01
3,4,200,5.19E-01
3,4,300,5.57E-01
3,4,400,5.29E-01
3,4,500,5.40E-01
3,4,600,5.14E-01
3,4,700,4.97E-01
3,4,800,4.81E-01
3,4,900,4.86E-01
3,4,1000,4.95E-01
3,5,100,5.21E-01
3,5,200,5.15E-01
3,5,300,5.45E-01
3,5,400,5.33E-01
3,5,500,5.39E-01
3,5,600,4.96E-01
3,5,700,4.89E-01
3,5,800,4.79E-01
3,5,900,4.72E-01
3,5,1000,4.90E-01
4,2,100,5.02E-01
4,2,200,4.88E-01
4,2,300,5.08E-01
4,2,400,5.11E-01
4,2,500,4.75E-01
4,2,600,4.91E-01
4,2,700,4.81E-01
4,2,800,4.58E-01
4,2,900,4.69E-01
4,2,1000,4.61E-01
4,3,100,5.13E-01
4,3,200,5.29E-01
4,3,300,5.32E-01
4,3,400,5.23E-01
4,3,500,5.17E-01
4,3,600,4.95E-01
4,3,700,4.79E-01
4,3,800,4.69E-01
4,3,900,4.62E-01
4,3,1000,4.81E-01
4,4,100,5.15E-01
4,4,200,5.22E-01
4,4,300,5.50E-01
4,4,400,5.29E-01
4,4,500,5.20E-01
4,4,600,4.77E-01
4,4,700,4.94E-01
4,4,800,4.82E-01
4,4,900,4.75E-01
4,4,1000,4.80E-01
4,5,100,5.04E-01
4,5,200,5.19E-01
4,5,300,5.28E-01
4,5,400,5.18E-01
4,5,500,5.32E-01
4,5,600,4.93E-01
4,5,700,4.68E-01
4,5,800,4.74E-01
4,5,900,4.64E-01
4,5,1000,4.73E-01
4,6,100,5.05E-01
4,6,200,5.04E-01
4,6,300,5.27E-01
4,6,400,5.06E-01
4,6,500,5.18E-01
4,6,600,4.87E-01
4,6,700,4.66E-01
4,6,800,4.63E-01
4,6,900,4.50E-01
4,6,1000,4.51E-01
