step,size,vocab,accuracy 
2,2,100,4.948000e-01 
2,2,200,5.026667e-01 
2,2,300,5.064667e-01 
2,2,400,5.093333e-01 
2,2,500,4.861333e-01 
2,2,600,4.832667e-01 
2,2,700,4.800667e-01 
2,2,800,4.582667e-01 
2,2,900,4.682667e-01 
2,2,1000,4.788000e-01 
2,3,100,5.011333e-01 
2,3,200,5.308000e-01 
2,3,300,5.191333e-01 
2,3,400,5.290667e-01 
2,3,500,5.006667e-01 
2,3,600,4.875333e-01 
2,3,700,5.208667e-01 
2,3,800,4.688667e-01 
2,3,900,4.959333e-01 
2,3,1000,4.983333e-01 
2,4,100,5.008667e-01 
2,4,200,5.141333e-01 
2,4,300,5.283333e-01 
2,4,400,5.356667e-01 
2,4,500,5.069333e-01 
2,4,600,4.733333e-01 
2,4,700,5.330000e-01 
2,4,800,4.587333e-01 
2,4,900,4.769333e-01 
2,4,1000,4.768667e-01 
3,2,100,5.059333e-01 
3,2,200,5.057333e-01 
3,2,300,5.118667e-01 
3,2,400,5.007333e-01 
3,2,500,4.772667e-01 
3,2,600,4.674000e-01 
3,2,700,4.773333e-01 
3,2,800,4.557333e-01 
3,2,900,4.546000e-01 
3,2,1000,4.695333e-01 
3,3,100,5.000000e-01 
3,3,200,5.244000e-01 
3,3,300,5.316000e-01 
3,3,400,5.319333e-01 
3,3,500,4.896000e-01 
3,3,600,4.653333e-01 
3,3,700,5.090667e-01 
3,3,800,4.630000e-01 
3,3,900,4.950667e-01 
3,3,1000,4.679333e-01 
3,4,100,5.040667e-01 
3,4,200,5.112667e-01 
3,4,300,5.308000e-01 
3,4,400,5.380000e-01 
3,4,500,5.039333e-01 
3,4,600,4.636667e-01 
3,4,700,5.288667e-01 
3,4,800,4.522667e-01 
3,4,900,4.573333e-01 
3,4,1000,4.463333e-01 
3,5,100,4.826667e-01 
3,5,200,5.060667e-01 
3,5,300,5.224667e-01 
3,5,400,5.047333e-01 
3,5,500,4.900000e-01 
3,5,600,4.670000e-01 
3,5,700,5.311333e-01 
3,5,800,4.552667e-01 
3,5,900,4.756000e-01 
3,5,1000,4.510667e-01 
4,2,100,4.983333e-01 
4,2,200,5.078000e-01 
4,2,300,5.058667e-01 
4,2,400,4.850667e-01 
4,2,500,4.782667e-01 
4,2,600,4.582000e-01 
4,2,700,4.642000e-01 
4,2,800,4.456000e-01 
4,2,900,4.443333e-01 
4,2,1000,4.276000e-01 
4,3,100,5.052667e-01 
4,3,200,5.197333e-01 
4,3,300,5.202000e-01 
4,3,400,5.073333e-01 
4,3,500,4.775333e-01 
4,3,600,4.589333e-01 
4,3,700,5.012000e-01 
4,3,800,4.313333e-01 
4,3,900,4.543333e-01 
4,3,1000,4.597333e-01 
4,4,100,4.892667e-01 
4,4,200,5.043333e-01 
4,4,300,5.117333e-01 
4,4,400,5.122667e-01 
4,4,500,4.970667e-01 
4,4,600,4.503333e-01 
4,4,700,5.210000e-01 
4,4,800,4.495333e-01 
4,4,900,4.621333e-01 
4,4,1000,4.246000e-01 
4,5,100,4.888667e-01 
4,5,200,4.899333e-01 
4,5,300,5.080667e-01 
4,5,400,5.039333e-01 
