step,size,vocab,accuracy 
2,2,100,4.766667e-01 
2,2,300,5.266667e-01 
2,2,500,5.046667e-01 
2,2,700,5.286667e-01 
2,2,900,5.186667e-01 
2,4,100,4.566667e-01 
2,4,300,5.213333e-01 
2,4,500,5.266667e-01 
2,4,700,5.246667e-01 
2,4,900,5.126667e-01 
2,6,100,4.420000e-01 
2,6,300,5.013333e-01 
2,6,500,4.833333e-01 
2,6,700,4.553333e-01 
2,6,900,4.633333e-01 
2,8,100,4.333333e-01 
2,8,300,4.513333e-01 
2,8,500,4.613333e-01 
2,8,700,4.026667e-01 
2,8,900,4.153333e-01 
2,10,100,4.066667e-01 
2,10,300,4.253333e-01 
2,10,500,4.333333e-01 
2,10,700,3.706667e-01 
2,10,900,3.746667e-01 
2,12,100,4.053333e-01 
2,12,300,3.660000e-01 
2,12,500,3.966667e-01 
2,12,700,3.180000e-01 
2,12,900,3.393333e-01 
2,14,100,3.633333e-01 
2,14,300,3.586667e-01 
2,14,500,3.746667e-01 
2,14,700,3.193333e-01 
2,14,900,3.033333e-01 
2,16,100,3.433333e-01 
2,16,300,3.320000e-01 
2,16,500,3.473333e-01 
2,16,700,3.120000e-01 
2,16,900,2.920000e-01 
4,2,100,4.586667e-01 
4,2,300,5.026667e-01 
4,2,500,4.660000e-01 
4,2,700,4.780000e-01 
4,2,900,4.673333e-01 
4,4,100,4.546667e-01 
4,4,300,4.993333e-01 
4,4,500,5.000000e-01 
4,4,700,4.840000e-01 
4,4,900,4.986667e-01 
4,6,100,4.433333e-01 
4,6,300,4.766667e-01 
4,6,500,4.673333e-01 
4,6,700,4.506667e-01 
4,6,900,4.320000e-01 
4,8,100,4.200000e-01 
4,8,300,4.446667e-01 
4,8,500,4.440000e-01 
4,8,700,4.006667e-01 
4,8,900,4.086667e-01 
4,10,100,3.993333e-01 
4,10,300,4.246667e-01 
4,10,500,4.233333e-01 
4,10,700,3.513333e-01 
4,10,900,3.646667e-01 
4,12,100,3.980000e-01 
4,12,300,3.693333e-01 
4,12,500,4.080000e-01 
4,12,700,3.293333e-01 
4,12,900,3.346667e-01 
4,14,100,3.580000e-01 
4,14,300,3.446667e-01 
4,14,500,3.800000e-01 
4,14,700,3.266667e-01 
4,14,900,3.046667e-01 
4,16,100,3.373333e-01 
4,16,300,3.273333e-01 
4,16,500,3.453333e-01 
4,16,700,3.060000e-01 
4,16,900,2.640000e-01 
6,2,100,4.480000e-01 
6,2,300,4.526667e-01 
6,2,500,4.293333e-01 
6,2,700,4.073333e-01 
6,2,900,3.973333e-01 
6,4,100,4.413333e-01 
6,4,300,4.920000e-01 
6,4,500,4.793333e-01 
6,4,700,4.406667e-01 
6,4,900,4.473333e-01 
6,6,100,4.480000e-01 
6,6,300,4.526667e-01 
6,6,500,4.660000e-01 
6,6,700,4.120000e-01 
6,6,900,4.140000e-01 
6,8,100,4.040000e-01 
6,8,300,4.253333e-01 
6,8,500,4.393333e-01 
6,8,700,3.793333e-01 
6,8,900,3.886667e-01 
6,10,100,3.980000e-01 
6,10,300,3.946667e-01 
6,10,500,4.026667e-01 
6,10,700,3.353333e-01 
6,10,900,3.346667e-01 
6,12,100,3.686667e-01 
6,12,300,3.473333e-01 
6,12,500,3.726667e-01 
6,12,700,3.206667e-01 
6,12,900,3.246667e-01 
6,14,100,3.580000e-01 
6,14,300,3.366667e-01 
6,14,500,3.566667e-01 
6,14,700,3.126667e-01 
6,14,900,3.106667e-01 
6,16,100,3.306667e-01 
6,16,300,3.240000e-01 
6,16,500,3.360000e-01 
6,16,700,2.933333e-01 
6,16,900,2.853333e-01 
8,2,100,4.026667e-01 
8,2,300,4.333333e-01 
8,2,500,3.640000e-01 
8,2,700,3.686667e-01 
8,2,900,3.480000e-01 
8,4,100,4.346667e-01 
8,4,300,4.220000e-01 
8,4,500,4.413333e-01 
8,4,700,3.953333e-01 
8,4,900,4.053333e-01 
8,6,100,4.240000e-01 
8,6,300,4.273333e-01 
8,6,500,4.400000e-01 
8,6,700,4.093333e-01 
8,6,900,3.866667e-01 
8,8,100,3.980000e-01 
8,8,300,4.126667e-01 
8,8,500,4.066667e-01 
8,8,700,3.613333e-01 
8,8,900,3.613333e-01 
8,10,100,3.880000e-01 
8,10,300,3.906667e-01 
8,10,500,3.866667e-01 
8,10,700,3.206667e-01 
8,10,900,3.373333e-01 
8,12,100,3.613333e-01 
8,12,300,3.573333e-01 
8,12,500,3.786667e-01 
8,12,700,3.113333e-01 
8,12,900,3.186667e-01 
8,14,100,3.560000e-01 
8,14,300,3.313333e-01 
8,14,500,3.560000e-01 
8,14,700,3.146667e-01 
8,14,900,2.893333e-01 
8,16,100,3.340000e-01 
8,16,300,3.140000e-01 
8,16,500,3.300000e-01 
8,16,700,2.940000e-01 
8,16,900,2.600000e-01 
10,2,100,3.706667e-01 
10,2,300,3.853333e-01 
10,2,500,3.060000e-01 
10,2,700,3.106667e-01 
10,2,900,2.720000e-01 
10,4,100,4.113333e-01 
10,4,300,4.326667e-01 
10,4,500,3.940000e-01 
10,4,700,3.740000e-01 
10,4,900,3.406667e-01 
10,6,100,4.166667e-01 
10,6,300,3.873333e-01 
10,6,500,4.060000e-01 
10,6,700,3.673333e-01 
10,6,900,3.546667e-01 
10,8,100,4.086667e-01 
10,8,300,3.853333e-01 
10,8,500,3.860000e-01 
10,8,700,3.533333e-01 
10,8,900,3.333333e-01 
10,10,100,3.680000e-01 
10,10,300,3.706667e-01 
10,10,500,3.660000e-01 
10,10,700,3.246667e-01 
10,10,900,3.146667e-01 
10,12,100,3.440000e-01 
10,12,300,3.546667e-01 
10,12,500,3.533333e-01 
10,12,700,3.140000e-01 
10,12,900,3.006667e-01 
10,14,100,3.533333e-01 
10,14,300,3.313333e-01 
10,14,500,3.693333e-01 
10,14,700,2.760000e-01 
10,14,900,2.700000e-01 
10,16,100,3.266667e-01 
10,16,300,3.326667e-01 
10,16,500,3.380000e-01 
10,16,700,2.953333e-01 
10,16,900,2.746667e-01 
