step,size,vocab,accuracy 
2,2,100,4.846667e-01 
2,2,300,5.346667e-01 
2,2,500,4.626667e-01 
2,2,700,4.646667e-01 
2,2,900,4.606667e-01 
2,4,100,5.153333e-01 
2,4,300,5.486667e-01 
2,4,500,5.173333e-01 
2,4,700,4.880000e-01 
2,4,900,5.360000e-01 
2,6,100,5.106667e-01 
2,6,300,5.333333e-01 
2,6,500,5.420000e-01 
2,6,700,4.793333e-01 
2,6,900,5.000000e-01 
2,8,100,4.973333e-01 
2,8,300,5.073333e-01 
2,8,500,5.060000e-01 
2,8,700,4.120000e-01 
2,8,900,4.746667e-01 
2,10,100,4.666667e-01 
2,10,300,4.746667e-01 
2,10,500,4.813333e-01 
2,10,700,3.786667e-01 
2,10,900,3.986667e-01 
2,12,100,4.493333e-01 
2,12,300,4.133333e-01 
2,12,500,4.326667e-01 
2,12,700,3.586667e-01 
2,12,900,3.513333e-01 
2,14,100,3.953333e-01 
2,14,300,3.720000e-01 
2,14,500,4.113333e-01 
2,14,700,3.353333e-01 
2,14,900,3.220000e-01 
2,16,100,3.673333e-01 
2,16,300,3.513333e-01 
2,16,500,4.026667e-01 
2,16,700,3.213333e-01 
2,16,900,2.840000e-01 
4,2,100,5.033333e-01 
4,2,300,4.966667e-01 
4,2,500,4.720000e-01 
4,2,700,4.526667e-01 
4,2,900,4.746667e-01 
4,4,100,5.026667e-01 
4,4,300,5.493333e-01 
4,4,500,5.366667e-01 
4,4,700,5.040000e-01 
4,4,900,4.933333e-01 
4,6,100,5.180000e-01 
4,6,300,5.140000e-01 
4,6,500,5.186667e-01 
4,6,700,4.613333e-01 
4,6,900,4.673333e-01 
4,8,100,4.753333e-01 
4,8,300,4.786667e-01 
4,8,500,4.746667e-01 
4,8,700,3.933333e-01 
4,8,900,4.086667e-01 
4,10,100,4.540000e-01 
4,10,300,4.533333e-01 
4,10,500,4.746667e-01 
4,10,700,3.813333e-01 
4,10,900,3.780000e-01 
4,12,100,4.413333e-01 
4,12,300,4.086667e-01 
4,12,500,4.313333e-01 
4,12,700,3.646667e-01 
4,12,900,3.426667e-01 
4,14,100,4.080000e-01 
4,14,300,3.840000e-01 
4,14,500,3.973333e-01 
4,14,700,3.600000e-01 
4,14,900,3.200000e-01 
4,16,100,3.406667e-01 
4,16,300,3.273333e-01 
4,16,500,3.860000e-01 
4,16,700,3.453333e-01 
4,16,900,2.866667e-01 
6,2,100,4.913333e-01 
6,2,300,4.900000e-01 
6,2,500,4.726667e-01 
6,2,700,4.113333e-01 
6,2,900,4.026667e-01 
6,4,100,5.073333e-01 
6,4,300,5.173333e-01 
6,4,500,5.253333e-01 
6,4,700,4.760000e-01 
6,4,900,4.293333e-01 
6,6,100,4.953333e-01 
6,6,300,5.086667e-01 
6,6,500,5.100000e-01 
6,6,700,4.080000e-01 
6,6,900,4.346667e-01 
6,8,100,4.920000e-01 
6,8,300,4.613333e-01 
6,8,500,4.553333e-01 
6,8,700,3.980000e-01 
6,8,900,3.886667e-01 
6,10,100,4.480000e-01 
6,10,300,4.406667e-01 
6,10,500,4.566667e-01 
6,10,700,3.653333e-01 
6,10,900,3.533333e-01 
6,12,100,4.266667e-01 
6,12,300,3.933333e-01 
6,12,500,4.273333e-01 
6,12,700,3.393333e-01 
6,12,900,3.040000e-01 
6,14,100,3.886667e-01 
6,14,300,3.740000e-01 
6,14,500,4.033333e-01 
6,14,700,3.446667e-01 
6,14,900,3.046667e-01 
6,16,100,3.213333e-01 
6,16,300,3.533333e-01 
6,16,500,3.873333e-01 
6,16,700,3.126667e-01 
6,16,900,2.873333e-01 
8,2,100,4.786667e-01 
8,2,300,5.086667e-01 
8,2,500,4.340000e-01 
8,2,700,4.146667e-01 
8,2,900,3.393333e-01 
8,4,100,5.080000e-01 
8,4,300,4.853333e-01 
8,4,500,4.560000e-01 
8,4,700,4.166667e-01 
8,4,900,3.966667e-01 
8,6,100,5.093333e-01 
8,6,300,4.566667e-01 
8,6,500,4.806667e-01 
8,6,700,4.006667e-01 
8,6,900,3.820000e-01 
8,8,100,4.680000e-01 
8,8,300,4.360000e-01 
8,8,500,4.660000e-01 
8,8,700,3.713333e-01 
8,8,900,3.706667e-01 
8,10,100,4.586667e-01 
8,10,300,4.280000e-01 
8,10,500,4.340000e-01 
8,10,700,3.640000e-01 
8,10,900,3.620000e-01 
8,12,100,4.073333e-01 
8,12,300,3.706667e-01 
8,12,500,4.073333e-01 
8,12,700,3.466667e-01 
8,12,900,3.213333e-01 
8,14,100,3.533333e-01 
8,14,300,3.540000e-01 
8,14,500,4.013333e-01 
8,14,700,3.406667e-01 
8,14,900,3.146667e-01 
8,16,100,3.246667e-01 
8,16,300,3.266667e-01 
8,16,500,3.553333e-01 
8,16,700,3.206667e-01 
8,16,900,2.780000e-01 
10,2,100,4.486667e-01 
10,2,300,4.793333e-01 
10,2,500,4.053333e-01 
10,2,700,3.806667e-01 
10,2,900,3.506667e-01 
10,4,100,4.580000e-01 
10,4,300,4.766667e-01 
10,4,500,4.240000e-01 
10,4,700,4.046667e-01 
10,4,900,3.546667e-01 
10,6,100,4.753333e-01 
10,6,300,4.500000e-01 
10,6,500,4.206667e-01 
10,6,700,3.373333e-01 
10,6,900,3.606667e-01 
10,8,100,4.566667e-01 
10,8,300,4.086667e-01 
10,8,500,4.353333e-01 
10,8,700,3.733333e-01 
10,8,900,3.373333e-01 
10,10,100,4.233333e-01 
10,10,300,4.093333e-01 
10,10,500,4.040000e-01 
10,10,700,3.326667e-01 
10,10,900,3.086667e-01 
10,12,100,3.880000e-01 
10,12,300,3.613333e-01 
10,12,500,3.873333e-01 
10,12,700,3.286667e-01 
10,12,900,3.146667e-01 
10,14,100,3.373333e-01 
10,14,300,3.220000e-01 
10,14,500,3.886667e-01 
10,14,700,3.160000e-01 
10,14,900,2.733333e-01 
10,16,100,3.006667e-01 
10,16,300,3.360000e-01 
10,16,500,3.593333e-01 
10,16,700,2.946667e-01 
10,16,900,2.680000e-01 
