step,size,vocab,accuracy 
2,2,100,4.840000e-01 
2,2,300,5.113333e-01 
2,2,500,5.126667e-01 
2,2,700,5.266667e-01 
2,2,900,4.986667e-01 
2,4,100,4.706667e-01 
2,4,300,5.086667e-01 
2,4,500,4.666667e-01 
2,4,700,5.093333e-01 
2,4,900,4.733333e-01 
2,6,100,4.280000e-01 
2,6,300,4.626667e-01 
2,6,500,4.453333e-01 
2,6,700,4.966667e-01 
2,6,900,4.466667e-01 
2,8,100,3.886667e-01 
2,8,300,4.173333e-01 
2,8,500,4.100000e-01 
2,8,700,4.520000e-01 
2,8,900,4.093333e-01 
2,10,100,3.760000e-01 
2,10,300,3.886667e-01 
2,10,500,3.600000e-01 
2,10,700,4.286667e-01 
2,10,900,3.800000e-01 
2,12,100,3.380000e-01 
2,12,300,3.866667e-01 
2,12,500,3.566667e-01 
2,12,700,3.966667e-01 
2,12,900,3.500000e-01 
2,14,100,3.313333e-01 
2,14,300,3.880000e-01 
2,14,500,3.153333e-01 
2,14,700,3.853333e-01 
2,14,900,2.980000e-01 
2,16,100,3.080000e-01 
2,16,300,3.540000e-01 
2,16,500,3.080000e-01 
2,16,700,3.500000e-01 
2,16,900,2.826667e-01 
4,2,100,4.593333e-01 
4,2,300,4.913333e-01 
4,2,500,4.586667e-01 
4,2,700,4.506667e-01 
4,2,900,4.473333e-01 
4,4,100,4.626667e-01 
4,4,300,4.873333e-01 
4,4,500,4.506667e-01 
4,4,700,4.993333e-01 
4,4,900,4.733333e-01 
4,6,100,4.193333e-01 
4,6,300,4.540000e-01 
4,6,500,4.300000e-01 
4,6,700,4.813333e-01 
4,6,900,4.146667e-01 
4,8,100,3.740000e-01 
4,8,300,4.086667e-01 
4,8,500,3.980000e-01 
4,8,700,4.433333e-01 
4,8,900,4.086667e-01 
4,10,100,3.746667e-01 
4,10,300,3.940000e-01 
4,10,500,3.546667e-01 
4,10,700,4.306667e-01 
4,10,900,3.753333e-01 
4,12,100,3.346667e-01 
4,12,300,3.740000e-01 
4,12,500,3.446667e-01 
4,12,700,3.986667e-01 
4,12,900,3.340000e-01 
4,14,100,3.206667e-01 
4,14,300,3.673333e-01 
4,14,500,2.953333e-01 
4,14,700,3.866667e-01 
4,14,900,2.906667e-01 
4,16,100,3.126667e-01 
4,16,300,3.560000e-01 
4,16,500,3.066667e-01 
4,16,700,3.386667e-01 
4,16,900,2.886667e-01 
6,2,100,4.193333e-01 
6,2,300,4.226667e-01 
6,2,500,4.013333e-01 
6,2,700,3.740000e-01 
6,2,900,3.666667e-01 
6,4,100,4.453333e-01 
6,4,300,4.433333e-01 
6,4,500,4.166667e-01 
6,4,700,4.713333e-01 
6,4,900,4.100000e-01 
