step,size,vocab,accuracy 
2,2,100,4.906667e-01 
2,2,300,4.960000e-01 
2,2,500,5.100000e-01 
2,2,700,4.493333e-01 
2,2,900,4.386667e-01 
2,4,100,5.106667e-01 
2,4,300,5.373333e-01 
2,4,500,5.260000e-01 
2,4,700,5.286667e-01 
2,4,900,4.966667e-01 
2,6,100,4.680000e-01 
2,6,300,5.233333e-01 
2,6,500,4.600000e-01 
2,6,700,5.500000e-01 
2,6,900,4.713333e-01 
2,8,100,4.513333e-01 
2,8,300,4.813333e-01 
2,8,500,4.373333e-01 
2,8,700,5.246667e-01 
2,8,900,4.553333e-01 
2,10,100,4.153333e-01 
2,10,300,4.440000e-01 
2,10,500,3.866667e-01 
2,10,700,4.926667e-01 
2,10,900,4.126667e-01 
2,12,100,3.680000e-01 
2,12,300,3.833333e-01 
2,12,500,3.313333e-01 
2,12,700,4.680000e-01 
2,12,900,3.673333e-01 
2,14,100,3.426667e-01 
2,14,300,3.686667e-01 
2,14,500,3.186667e-01 
2,14,700,4.340000e-01 
2,14,900,3.073333e-01 
2,16,100,3.326667e-01 
2,16,300,3.653333e-01 
2,16,500,2.833333e-01 
2,16,700,4.060000e-01 
2,16,900,2.766667e-01 
4,2,100,5.166667e-01 
4,2,300,5.040000e-01 
4,2,500,4.680000e-01 
4,2,700,4.566667e-01 
4,2,900,4.753333e-01 
4,4,100,5.046667e-01 
4,4,300,5.180000e-01 
4,4,500,4.846667e-01 
4,4,700,5.620000e-01 
4,4,900,4.513333e-01 
4,6,100,4.633333e-01 
4,6,300,4.900000e-01 
4,6,500,4.406667e-01 
4,6,700,5.580000e-01 
4,6,900,4.380000e-01 
4,8,100,4.240000e-01 
4,8,300,4.626667e-01 
4,8,500,4.133333e-01 
4,8,700,5.053333e-01 
4,8,900,4.253333e-01 
4,10,100,3.940000e-01 
4,10,300,4.226667e-01 
4,10,500,3.693333e-01 
4,10,700,4.573333e-01 
4,10,900,3.866667e-01 
4,12,100,3.533333e-01 
4,12,300,4.053333e-01 
4,12,500,3.366667e-01 
4,12,700,4.393333e-01 
4,12,900,3.286667e-01 
4,14,100,3.406667e-01 
4,14,300,3.820000e-01 
4,14,500,3.000000e-01 
4,14,700,4.340000e-01 
4,14,900,3.093333e-01 
4,16,100,3.286667e-01 
4,16,300,3.640000e-01 
4,16,500,2.820000e-01 
4,16,700,3.906667e-01 
4,16,900,2.606667e-01 
6,2,100,4.660000e-01 
6,2,300,4.866667e-01 
6,2,500,4.133333e-01 
6,2,700,4.126667e-01 
6,2,900,3.966667e-01 
6,4,100,4.940000e-01 
6,4,300,4.813333e-01 
6,4,500,4.593333e-01 
6,4,700,4.986667e-01 
6,4,900,4.260000e-01 
6,6,100,4.653333e-01 
6,6,300,4.713333e-01 
6,6,500,4.253333e-01 
6,6,700,5.333333e-01 
6,6,900,3.940000e-01 
6,8,100,4.240000e-01 
6,8,300,4.360000e-01 
6,8,500,3.893333e-01 
6,8,700,4.926667e-01 
6,8,900,3.713333e-01 
6,10,100,3.766667e-01 
6,10,300,4.126667e-01 
6,10,500,3.726667e-01 
6,10,700,4.666667e-01 
6,10,900,3.520000e-01 
6,12,100,3.600000e-01 
6,12,300,3.753333e-01 
