step,size,vocab,accuracy 
2,2,100,5.406667e-01 
2,2,300,5.640000e-01 
2,2,500,5.586667e-01 
2,2,700,5.540000e-01 
2,2,900,5.166667e-01 
2,4,100,5.113333e-01 
2,4,300,5.066667e-01 
2,4,500,4.926667e-01 
2,4,700,4.346667e-01 
2,4,900,3.746667e-01 
2,6,100,4.780000e-01 
2,6,300,4.426667e-01 
2,6,500,3.793333e-01 
2,6,700,3.280000e-01 
2,6,900,3.166667e-01 
2,8,100,4.433333e-01 
2,8,300,3.333333e-01 
2,8,500,3.046667e-01 
2,8,700,2.300000e-01 
2,8,900,2.300000e-01 
2,10,100,3.820000e-01 
2,10,300,2.700000e-01 
2,10,500,2.593333e-01 
2,10,700,2.253333e-01 
2,10,900,1.833333e-01 
2,12,100,3.286667e-01 
2,12,300,2.093333e-01 
2,12,500,2.400000e-01 
2,12,700,2.013333e-01 
2,12,900,1.706667e-01 
2,14,100,2.926667e-01 
2,14,300,1.980000e-01 
2,14,500,2.260000e-01 
2,14,700,2.033333e-01 
2,14,900,1.546667e-01 
2,16,100,2.606667e-01 
2,16,300,2.000000e-01 
2,16,500,2.226667e-01 
2,16,700,2.226667e-01 
2,16,900,1.600000e-01 
4,2,100,5.273333e-01 
4,2,300,5.293333e-01 
4,2,500,4.653333e-01 
4,2,700,4.253333e-01 
4,2,900,3.773333e-01 
4,4,100,5.106667e-01 
4,4,300,4.866667e-01 
4,4,500,4.580000e-01 
4,4,700,3.820000e-01 
4,4,900,3.053333e-01 
4,6,100,4.686667e-01 
4,6,300,4.200000e-01 
4,6,500,3.440000e-01 
4,6,700,3.086667e-01 
4,6,900,2.940000e-01 
