step,size,vocab,accuracy 
2,2,100,6.773333e-01 
2,2,300,7.246667e-01 
2,2,500,7.286667e-01 
2,2,700,7.420000e-01 
2,2,900,7.293333e-01 
2,4,100,6.706667e-01 
2,4,300,6.953333e-01 
2,4,500,7.046667e-01 
2,4,700,6.860000e-01 
2,4,900,6.713333e-01 
2,6,100,6.186667e-01 
2,6,300,6.533333e-01 
2,6,500,6.680000e-01 
2,6,700,6.013333e-01 
2,6,900,6.093333e-01 
2,8,100,5.880000e-01 
2,8,300,6.033333e-01 
2,8,500,6.373333e-01 
2,8,700,5.346667e-01 
2,8,900,5.326667e-01 
2,10,100,5.493333e-01 
2,10,300,5.260000e-01 
2,10,500,5.800000e-01 
2,10,700,4.706667e-01 
2,10,900,4.586667e-01 
2,12,100,5.040000e-01 
2,12,300,4.753333e-01 
2,12,500,5.166667e-01 
2,12,700,4.266667e-01 
2,12,900,4.166667e-01 
2,14,100,4.566667e-01 
2,14,300,4.186667e-01 
2,14,500,4.646667e-01 
2,14,700,4.140000e-01 
2,14,900,3.800000e-01 
2,16,100,4.120000e-01 
2,16,300,3.760000e-01 
2,16,500,4.240000e-01 
2,16,700,3.680000e-01 
2,16,900,3.440000e-01 
4,2,100,6.526667e-01 
4,2,300,7.066667e-01 
4,2,500,6.893333e-01 
4,2,700,6.746667e-01 
4,2,900,6.760000e-01 
4,4,100,6.513333e-01 
4,4,300,6.766667e-01 
4,4,500,6.940000e-01 
4,4,700,6.573333e-01 
4,4,900,6.366667e-01 
4,6,100,6.013333e-01 
4,6,300,6.320000e-01 
4,6,500,6.520000e-01 
4,6,700,5.940000e-01 
4,6,900,5.593333e-01 
