step,size,vocab,accuracy 
2,2,100,5.253333e-01 
2,2,300,5.433333e-01 
2,2,500,5.060000e-01 
2,2,700,4.920000e-01 
2,2,900,4.373333e-01 
2,4,100,5.126667e-01 
2,4,300,4.780000e-01 
2,4,500,3.780000e-01 
2,4,700,4.133333e-01 
2,4,900,3.433333e-01 
2,6,100,4.253333e-01 
2,6,300,3.733333e-01 
2,6,500,2.800000e-01 
2,6,700,3.553333e-01 
2,6,900,2.753333e-01 
2,8,100,3.686667e-01 
2,8,300,3.120000e-01 
2,8,500,2.306667e-01 
2,8,700,2.666667e-01 
2,8,900,2.373333e-01 
2,10,100,3.286667e-01 
2,10,300,2.633333e-01 
2,10,500,2.306667e-01 
2,10,700,2.306667e-01 
2,10,900,2.080000e-01 
2,12,100,3.066667e-01 
2,12,300,2.753333e-01 
2,12,500,2.000000e-01 
2,12,700,2.220000e-01 
2,12,900,2.100000e-01 
2,14,100,2.753333e-01 
2,14,300,2.760000e-01 
2,14,500,1.973333e-01 
2,14,700,2.273333e-01 
2,14,900,1.866667e-01 
2,16,100,2.560000e-01 
2,16,300,2.726667e-01 
2,16,500,1.880000e-01 
2,16,700,2.133333e-01 
2,16,900,1.820000e-01 
4,2,100,5.133333e-01 
4,2,300,4.840000e-01 
4,2,500,3.893333e-01 
4,2,700,3.113333e-01 
4,2,900,2.873333e-01 
4,4,100,4.940000e-01 
4,4,300,4.226667e-01 
4,4,500,3.266667e-01 
4,4,700,3.473333e-01 
4,4,900,3.000000e-01 
4,6,100,4.346667e-01 
4,6,300,3.406667e-01 
4,6,500,2.513333e-01 
4,6,700,3.146667e-01 
4,6,900,2.680000e-01 
4,8,100,3.666667e-01 
4,8,300,2.800000e-01 
4,8,500,2.166667e-01 
4,8,700,2.653333e-01 
4,8,900,2.226667e-01 
4,10,100,3.366667e-01 
4,10,300,2.553333e-01 
4,10,500,2.286667e-01 
4,10,700,2.260000e-01 
4,10,900,2.100000e-01 
4,12,100,2.960000e-01 
4,12,300,2.506667e-01 
4,12,500,1.886667e-01 
4,12,700,2.233333e-01 
4,12,900,2.080000e-01 
4,14,100,2.673333e-01 
4,14,300,2.666667e-01 
4,14,500,1.793333e-01 
4,14,700,2.213333e-01 
4,14,900,1.760000e-01 
4,16,100,2.660000e-01 
4,16,300,2.566667e-01 
4,16,500,1.860000e-01 
4,16,700,2.073333e-01 
4,16,900,1.826667e-01 
6,2,100,4.713333e-01 
6,2,300,3.926667e-01 
6,2,500,2.480000e-01 
6,2,700,1.853333e-01 
6,2,900,1.173333e-01 
6,4,100,4.600000e-01 
6,4,300,3.506667e-01 
6,4,500,2.380000e-01 
6,4,700,2.593333e-01 
6,4,900,2.286667e-01 
6,6,100,4.120000e-01 
6,6,300,3.020000e-01 
6,6,500,2.066667e-01 
6,6,700,2.833333e-01 
6,6,900,2.126667e-01 
6,8,100,3.320000e-01 
6,8,300,2.720000e-01 
6,8,500,2.160000e-01 
6,8,700,2.400000e-01 
6,8,900,2.246667e-01 
6,10,100,3.333333e-01 
6,10,300,2.433333e-01 
6,10,500,2.006667e-01 
6,10,700,2.180000e-01 
6,10,900,1.993333e-01 
6,12,100,2.893333e-01 
6,12,300,2.473333e-01 
6,12,500,1.720000e-01 
6,12,700,2.160000e-01 
6,12,900,1.980000e-01 
6,14,100,2.606667e-01 
6,14,300,2.460000e-01 
6,14,500,1.653333e-01 
6,14,700,2.166667e-01 
6,14,900,1.533333e-01 
6,16,100,2.506667e-01 
6,16,300,2.546667e-01 
6,16,500,1.760000e-01 
6,16,700,2.013333e-01 
6,16,900,1.926667e-01 
8,2,100,4.500000e-01 
8,2,300,3.033333e-01 
8,2,500,1.306667e-01 
8,2,700,7.666667e-02 
8,2,900,6.466667e-02 
8,4,100,4.340000e-01 
8,4,300,2.513333e-01 
8,4,500,1.726667e-01 
8,4,700,1.840000e-01 
8,4,900,1.406667e-01 
8,6,100,3.680000e-01 
8,6,300,2.553333e-01 
8,6,500,1.813333e-01 
8,6,700,2.380000e-01 
8,6,900,2.006667e-01 
8,8,100,3.426667e-01 
8,8,300,2.426667e-01 
8,8,500,1.766667e-01 
8,8,700,2.240000e-01 
8,8,900,2.020000e-01 
8,10,100,3.140000e-01 
8,10,300,2.320000e-01 
8,10,500,1.773333e-01 
8,10,700,2.080000e-01 
