step,size,vocab,accuracy 
2,2,100,6.706667e-01 
2,2,300,7.100000e-01 
2,2,500,7.026667e-01 
2,2,700,7.106667e-01 
2,2,900,7.053333e-01 
2,4,100,6.393333e-01 
2,4,300,6.753333e-01 
2,4,500,6.740000e-01 
2,4,700,6.893333e-01 
2,4,900,6.646667e-01 
2,6,100,5.700000e-01 
2,6,300,6.233333e-01 
2,6,500,5.693333e-01 
2,6,700,6.513333e-01 
2,6,900,5.893333e-01 
2,8,100,5.106667e-01 
2,8,300,5.406667e-01 
2,8,500,4.986667e-01 
2,8,700,6.060000e-01 
2,8,900,5.113333e-01 
2,10,100,4.706667e-01 
2,10,300,5.053333e-01 
2,10,500,4.413333e-01 
2,10,700,5.706667e-01 
2,10,900,4.720000e-01 
2,12,100,4.226667e-01 
2,12,300,4.606667e-01 
2,12,500,3.960000e-01 
2,12,700,5.386667e-01 
2,12,900,4.186667e-01 
2,14,100,3.940000e-01 
2,14,300,4.186667e-01 
2,14,500,3.586667e-01 
2,14,700,5.000000e-01 
2,14,900,3.573333e-01 
2,16,100,3.706667e-01 
2,16,300,3.920000e-01 
2,16,500,3.060000e-01 
2,16,700,4.426667e-01 
2,16,900,3.440000e-01 
4,2,100,6.513333e-01 
4,2,300,6.620000e-01 
4,2,500,6.453333e-01 
4,2,700,6.346667e-01 
4,2,900,6.266667e-01 
4,4,100,6.120000e-01 
4,4,300,6.400000e-01 
4,4,500,5.953333e-01 
4,4,700,6.553333e-01 
4,4,900,6.086667e-01 
4,6,100,5.640000e-01 
4,6,300,5.873333e-01 
4,6,500,5.426667e-01 
4,6,700,6.460000e-01 
4,6,900,5.533333e-01 
4,8,100,4.753333e-01 
4,8,300,5.173333e-01 
4,8,500,4.846667e-01 
4,8,700,5.880000e-01 
4,8,900,5.026667e-01 
4,10,100,4.700000e-01 
4,10,300,4.853333e-01 
4,10,500,4.300000e-01 
4,10,700,5.493333e-01 
4,10,900,4.446667e-01 
4,12,100,4.113333e-01 
4,12,300,4.420000e-01 
4,12,500,3.780000e-01 
4,12,700,5.200000e-01 
4,12,900,4.080000e-01 
4,14,100,3.926667e-01 
4,14,300,4.213333e-01 
4,14,500,3.126667e-01 
4,14,700,4.826667e-01 
4,14,900,3.386667e-01 
4,16,100,3.686667e-01 
4,16,300,4.113333e-01 
4,16,500,3.066667e-01 
4,16,700,4.133333e-01 
4,16,900,3.306667e-01 
6,2,100,6.006667e-01 
6,2,300,5.866667e-01 
6,2,500,5.673333e-01 
6,2,700,5.300000e-01 
6,2,900,5.400000e-01 
6,4,100,5.713333e-01 
6,4,300,5.860000e-01 
6,4,500,5.700000e-01 
6,4,700,6.406667e-01 
6,4,900,5.633333e-01 
6,6,100,5.280000e-01 
6,6,300,5.853333e-01 
6,6,500,5.280000e-01 
6,6,700,6.206667e-01 
6,6,900,5.046667e-01 
6,8,100,4.700000e-01 
6,8,300,4.980000e-01 
6,8,500,4.573333e-01 
6,8,700,5.720000e-01 
6,8,900,4.900000e-01 
6,10,100,4.413333e-01 
6,10,300,4.640000e-01 
6,10,500,4.153333e-01 
6,10,700,5.406667e-01 
6,10,900,4.220000e-01 
6,12,100,4.093333e-01 
6,12,300,4.340000e-01 
6,12,500,3.593333e-01 
6,12,700,5.046667e-01 
6,12,900,3.933333e-01 
6,14,100,3.600000e-01 
6,14,300,4.180000e-01 
6,14,500,3.106667e-01 
6,14,700,4.733333e-01 
6,14,900,3.400000e-01 
6,16,100,3.633333e-01 
6,16,300,3.893333e-01 
6,16,500,3.086667e-01 
6,16,700,4.320000e-01 
6,16,900,3.106667e-01 
8,2,100,5.726667e-01 
8,2,300,5.120000e-01 
8,2,500,4.620000e-01 
8,2,700,4.480000e-01 
8,2,900,4.300000e-01 
8,4,100,5.566667e-01 
8,4,300,5.100000e-01 
8,4,500,4.846667e-01 
8,4,700,5.633333e-01 
8,4,900,4.800000e-01 
8,6,100,5.113333e-01 
8,6,300,5.306667e-01 
8,6,500,4.626667e-01 
8,6,700,5.540000e-01 
8,6,900,4.493333e-01 
8,8,100,4.600000e-01 
8,8,300,4.846667e-01 
8,8,500,4.306667e-01 
8,8,700,5.353333e-01 
8,8,900,4.353333e-01 
8,10,100,4.200000e-01 
8,10,300,4.393333e-01 
8,10,500,3.853333e-01 
8,10,700,5.173333e-01 
8,10,900,4.180000e-01 
8,12,100,4.026667e-01 
8,12,300,4.180000e-01 
8,12,500,3.386667e-01 
8,12,700,4.860000e-01 
8,12,900,3.693333e-01 
8,14,100,3.986667e-01 
8,14,300,3.946667e-01 
8,14,500,3.053333e-01 
8,14,700,4.513333e-01 
8,14,900,3.453333e-01 
8,16,100,3.506667e-01 
8,16,300,3.813333e-01 
8,16,500,2.926667e-01 
8,16,700,3.953333e-01 
8,16,900,3.066667e-01 
10,2,100,5.140000e-01 
10,2,300,4.513333e-01 
10,2,500,4.106667e-01 
10,2,700,3.813333e-01 
10,2,900,3.480000e-01 
10,4,100,5.213333e-01 
10,4,300,4.586667e-01 
10,4,500,4.040000e-01 
10,4,700,4.833333e-01 
10,4,900,4.220000e-01 
10,6,100,4.693333e-01 
10,6,300,4.660000e-01 
10,6,500,4.186667e-01 
10,6,700,5.073333e-01 
10,6,900,4.086667e-01 
10,8,100,4.393333e-01 
10,8,300,4.580000e-01 
10,8,500,4.166667e-01 
10,8,700,5.113333e-01 
10,8,900,3.820000e-01 
10,10,100,4.160000e-01 
10,10,300,4.360000e-01 
10,10,500,3.453333e-01 
10,10,700,4.780000e-01 
10,10,900,3.386667e-01 
10,12,100,3.973333e-01 
10,12,300,4.086667e-01 
10,12,500,3.353333e-01 
10,12,700,4.500000e-01 
10,12,900,3.566667e-01 
10,14,100,3.653333e-01 
10,14,300,3.873333e-01 
10,14,500,3.093333e-01 
10,14,700,4.193333e-01 
10,14,900,3.006667e-01 
10,16,100,3.206667e-01 
10,16,300,3.633333e-01 
10,16,500,2.940000e-01 
10,16,700,3.933333e-01 
10,16,900,2.986667e-01 
