step,size,vocab,accuracy 
2,2,100,5.96E-01
2,2,300,6.84E-01
2,2,500,6.86E-01
2,2,700,6.95E-01
2,2,900,7.10E-01
2,3,100,6.08E-01
2,3,300,6.85E-01
2,3,500,6.80E-01
2,3,700,6.96E-01
2,3,900,6.97E-01
2,4,100,6.02E-01
2,4,300,6.75E-01
2,4,500,6.77E-01
2,4,700,6.76E-01
2,4,900,6.75E-01
2,5,100,5.84E-01
2,5,300,6.55E-01
2,5,500,6.66E-01
2,5,700,6.35E-01
2,5,900,6.28E-01
3,2,100,5.90E-01
3,2,300,6.62E-01
3,2,500,6.72E-01
3,2,700,6.86E-01
3,2,900,6.91E-01
3,3,100,6.11E-01
3,3,300,6.73E-01
3,3,500,6.66E-01
3,3,700,6.71E-01
3,3,900,6.74E-01
3,4,100,6.02E-01
3,4,300,6.64E-01
3,4,500,6.70E-01
3,4,700,6.59E-01
3,4,900,6.70E-01
3,5,100,5.74E-01
3,5,300,6.44E-01
3,5,500,6.54E-01
3,5,700,6.25E-01
3,5,900,6.15E-01
3,6,100,5.67E-01
3,6,300,6.03E-01
3,6,500,6.34E-01
3,6,700,5.85E-01
3,6,900,5.90E-01
4,2,100,5.93E-01
4,2,300,6.63E-01
4,2,500,6.56E-01
4,2,700,6.46E-01
4,2,900,6.47E-01
