step,size,vocab,accuracy 
2,2,100,6.82E-01
2,2,200,7.06E-01
2,2,300,7.25E-01
2,2,400,7.33E-01
2,2,500,7.27E-01
2,2,600,7.26E-01
2,2,700,7.40E-01
2,2,800,7.23E-01
2,2,900,7.32E-01
2,2,1000,7.39E-01
2,3,100,6.80E-01
2,3,200,7.07E-01
2,3,300,7.25E-01
2,3,400,7.22E-01
2,3,500,7.17E-01
2,3,600,7.24E-01
2,3,700,7.31E-01
2,3,800,7.16E-01
2,3,900,7.16E-01
2,3,1000,7.35E-01
2,4,100,6.66E-01
2,4,200,6.78E-01
2,4,300,7.07E-01
2,4,400,6.97E-01
2,4,500,7.05E-01
2,4,600,7.12E-01
2,4,700,6.86E-01
2,4,800,6.89E-01
2,4,900,6.76E-01
2,4,1000,7.18E-01
3,2,100,6.73E-01
3,2,200,6.90E-01
3,2,300,7.12E-01
3,2,400,7.08E-01
3,2,500,7.13E-01
3,2,600,7.13E-01
3,2,700,7.04E-01
3,2,800,7.07E-01
3,2,900,6.97E-01
3,2,1000,7.08E-01
3,3,100,6.77E-01
3,3,200,6.93E-01
3,3,300,7.00E-01
3,3,400,7.10E-01
3,3,500,7.02E-01
3,3,600,7.08E-01
3,3,700,6.98E-01
3,3,800,7.05E-01
3,3,900,7.00E-01
3,3,1000,7.08E-01
3,4,100,6.61E-01
3,4,200,6.80E-01
3,4,300,6.93E-01
3,4,400,6.82E-01
3,4,500,7.02E-01
3,4,600,7.19E-01
3,4,700,6.68E-01
3,4,800,6.71E-01
3,4,900,6.76E-01
3,4,1000,6.90E-01
3,5,100,6.38E-01
3,5,200,6.39E-01
3,5,300,6.69E-01
3,5,400,6.55E-01
3,5,500,6.86E-01
3,5,600,6.70E-01
3,5,700,6.29E-01
3,5,800,6.39E-01
3,5,900,6.31E-01
3,5,1000,6.53E-01
4,2,100,6.61E-01
4,2,200,6.82E-01
4,2,300,7.04E-01
4,2,400,7.01E-01
4,2,500,6.89E-01
4,2,600,6.83E-01
4,2,700,6.68E-01
4,2,800,6.67E-01
4,2,900,6.75E-01
4,2,1000,6.75E-01
4,3,100,6.53E-01
4,3,200,6.82E-01
4,3,300,6.98E-01
4,3,400,6.96E-01
4,3,500,6.89E-01
4,3,600,6.92E-01
4,3,700,6.92E-01
4,3,800,6.93E-01
4,3,900,6.78E-01
4,3,1000,6.97E-01
4,4,100,6.51E-01
4,4,200,6.68E-01
4,4,300,6.79E-01
4,4,400,6.78E-01
4,4,500,6.87E-01
4,4,600,6.79E-01
4,4,700,6.59E-01
4,4,800,6.53E-01
4,4,900,6.42E-01
4,4,1000,6.51E-01
4,5,100,6.35E-01
4,5,200,6.28E-01
4,5,300,6.53E-01
4,5,400,6.54E-01
4,5,500,6.81E-01
4,5,600,6.67E-01
4,5,700,6.11E-01
4,5,800,6.07E-01
4,5,900,6.08E-01
4,5,1000,6.19E-01
4,6,100,6.03E-01
4,6,200,6.12E-01
4,6,300,6.32E-01
4,6,400,6.40E-01
4,6,500,6.52E-01
4,6,600,6.51E-01
4,6,700,5.93E-01
4,6,800,5.79E-01
4,6,900,5.62E-01
4,6,1000,6.00E-01
