step,size,vocab,accuracy 
2,2,100,5.84E-01
2,2,300,6.67E-01
2,2,500,6.67E-01
2,2,700,6.81E-01
2,2,900,6.73E-01
2,4,100,5.89E-01
2,4,300,6.47E-01
2,4,500,6.26E-01
2,4,700,6.65E-01
2,4,900,6.36E-01
2,6,100,5.42E-01
2,6,300,5.89E-01
2,6,500,5.54E-01
2,6,700,6.33E-01
2,6,900,5.94E-01
2,8,100,4.76E-01
2,8,300,5.25E-01
2,8,500,4.78E-01
2,8,700,6.04E-01
2,8,900,5.27E-01
4,2,100,5.70E-01
4,2,300,6.44E-01
4,2,500,6.11E-01
4,2,700,5.94E-01
4,2,900,5.97E-01
4,4,100,5.83E-01
4,4,300,6.28E-01
4,4,500,5.82E-01
4,4,700,6.34E-01
4,4,900,6.00E-01
4,6,100,5.18E-01
4,6,300,5.55E-01
4,6,500,5.28E-01
4,6,700,6.39E-01
4,6,900,5.62E-01
4,8,100,4.47E-01
4,8,300,5.16E-01
4,8,500,4.58E-01
4,8,700,5.84E-01
4,8,900,5.09E-01
4,10,100,4.15E-01
4,10,300,4.59E-01
4,10,500,3.81E-01
4,10,700,5.57E-01
4,10,900,4.38E-01
6,2,100,5.33E-01
6,2,300,5.54E-01
6,2,500,5.19E-01
6,2,700,4.81E-01
6,2,900,4.79E-01
6,4,100,5.49E-01
6,4,300,5.54E-01
6,4,500,5.30E-01
6,4,700,5.99E-01
6,4,900,5.45E-01
6,6,100,4.90E-01
6,6,300,5.42E-01
6,6,500,5.08E-01
6,6,700,6.14E-01
6,6,900,5.00E-01
6,8,100,4.41E-01
6,8,300,4.68E-01
6,8,500,4.20E-01
6,8,700,5.71E-01
6,8,900,4.65E-01
6,10,100,4.03E-01
6,10,300,4.51E-01
6,10,500,3.67E-01
6,10,700,5.25E-01
6,10,900,4.02E-01
6,12,100,3.80E-01
6,12,300,4.19E-01
6,12,500,3.23E-01
6,12,700,4.97E-01
6,12,900,3.70E-01
8,2,100,4.98E-01
8,2,300,4.88E-01
8,2,500,4.24E-01
8,2,700,4.17E-01
8,2,900,3.95E-01
8,4,100,5.16E-01
8,4,300,4.98E-01
8,4,500,4.43E-01
8,4,700,5.36E-01
8,4,900,4.51E-01
8,6,100,4.68E-01
8,6,300,5.04E-01
8,6,500,4.23E-01
8,6,700,5.37E-01
8,6,900,4.29E-01
8,8,100,4.33E-01
8,8,300,4.59E-01
8,8,500,3.97E-01
8,8,700,5.35E-01
8,8,900,4.15E-01
8,10,100,3.91E-01
8,10,300,4.33E-01
8,10,500,3.40E-01
8,10,700,5.07E-01
8,10,900,3.91E-01
8,12,100,3.72E-01
8,12,300,4.04E-01
8,12,500,3.24E-01
8,12,700,4.80E-01
8,12,900,3.39E-01
8,14,100,3.37E-01
8,14,300,3.72E-01
8,14,500,2.92E-01
8,14,700,4.30E-01
8,14,900,3.19E-01
10,2,100,4.59E-01
10,2,300,4.17E-01
10,2,500,3.78E-01
10,2,700,3.43E-01
10,2,900,3.00E-01
10,4,100,4.76E-01
10,4,300,4.39E-01
10,4,500,3.73E-01
10,4,700,4.45E-01
10,4,900,3.83E-01
10,6,100,4.38E-01
10,6,300,4.44E-01
10,6,500,3.79E-01
10,6,700,5.02E-01
10,6,900,3.73E-01
10,8,100,4.01E-01
10,8,300,4.34E-01
10,8,500,3.61E-01
10,8,700,4.94E-01
10,8,900,3.63E-01
10,10,100,3.77E-01
10,10,300,4.05E-01
10,10,500,3.13E-01
10,10,700,4.64E-01
10,10,900,3.25E-01
10,12,100,3.73E-01
10,12,300,3.75E-01
10,12,500,3.05E-01
10,12,700,4.44E-01
10,12,900,3.35E-01
10,14,100,3.30E-01
10,14,300,3.75E-01
10,14,500,2.87E-01
10,14,700,4.13E-01
10,14,900,2.88E-01
10,16,100,2.99E-01
10,16,300,3.50E-01
10,16,500,2.62E-01
10,16,700,3.68E-01
